trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_booking_rule_id,drop_off_booking_rule_id,start_pickup_drop_off_window,end_pickup_drop_off_window,mean_duration_factor,mean_duration_offset,safe_duration_factor,safe_duration_offset,tts_stop_headsign,min_arrival_time,max_departure_time
t_1303405_b_219_tn_1,07:45:00,07:45:00,767253,1,,2,2,0,1,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767254,2,,2,2,412.670465667674,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767255,3,,2,2,686.79665550245,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767256,4,,2,2,1046.76345892626,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767257,5,,2,2,1555.50200635299,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767258,6,,2,2,2038.93300876425,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,771291,7,,2,2,2369.39255730617,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767259,8,,2,2,2848.69318326019,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767260,9,,2,2,3116.12178782045,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767261,10,,2,2,3519.65265868233,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767634,11,,2,2,4092.9757362164,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767262,12,,2,2,4785.15341645825,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767263,13,,2,2,5199.27234390181,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767264,14,,2,2,5667.12944454338,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767265,15,,2,2,6087.11334708686,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767266,16,,2,2,6261.76982064404,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767267,17,,2,2,6583.88670495536,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767268,18,,2,2,7170.60119693263,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767269,19,,2,2,7991.17106211216,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767270,20,,2,2,8741.82439940433,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767271,21,,2,2,9199.19873868596,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767272,22,,2,2,9420.2739007319,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767273,23,,2,2,10315.0009201865,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767274,24,,2,2,11211.6426446858,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767275,25,,2,2,11614.7251545627,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767276,26,,2,2,12011.4053484673,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767277,27,,2,2,12214.9730811023,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767278,28,,2,2,12616.7296848133,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767279,29,,2,2,13091.8124916743,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767280,30,,2,2,13520.6296378073,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767281,31,,2,2,14276.3783979368,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767282,32,,2,2,14981.1503114441,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767283,33,,2,2,15187.2311096222,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767284,34,,2,2,15589.8723687097,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767285,35,,2,2,16035.7877776875,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767286,36,,2,2,16324.9640219013,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767288,37,,2,2,17176.0799802076,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,,,767290,38,,2,2,17757.3453808646,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_1,08:39:00,08:39:00,767253,39,,2,2,18166.89099378,1,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,08:45:00,08:45:00,767253,1,,2,2,0,1,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767254,2,,2,2,412.670465667674,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767255,3,,2,2,686.79665550245,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767256,4,,2,2,1046.76345892626,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767257,5,,2,2,1555.50200635299,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767258,6,,2,2,2038.93300876425,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,771291,7,,2,2,2369.39255730617,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767259,8,,2,2,2848.69318326019,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767260,9,,2,2,3116.12178782045,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767261,10,,2,2,3519.65265868233,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767634,11,,2,2,4092.9757362164,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767262,12,,2,2,4785.15341645825,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767263,13,,2,2,5199.27234390181,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767264,14,,2,2,5667.12944454338,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767265,15,,2,2,6087.11334708686,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767266,16,,2,2,6261.76982064404,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767267,17,,2,2,6583.88670495536,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767268,18,,2,2,7170.60119693263,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767269,19,,2,2,7991.17106211216,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767270,20,,2,2,8741.82439940433,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767271,21,,2,2,9199.19873868596,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767272,22,,2,2,9420.2739007319,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767273,23,,2,2,10315.0009201865,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767274,24,,2,2,11211.6426446858,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767275,25,,2,2,11614.7251545627,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767276,26,,2,2,12011.4053484673,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767277,27,,2,2,12214.9730811023,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767278,28,,2,2,12616.7296848133,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767279,29,,2,2,13091.8124916743,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767280,30,,2,2,13520.6296378073,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767281,31,,2,2,14276.3783979368,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767282,32,,2,2,14981.1503114441,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767283,33,,2,2,15187.2311096222,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767284,34,,2,2,15589.8723687097,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767285,35,,2,2,16035.7877776875,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767286,36,,2,2,16324.9640219013,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767288,37,,2,2,17176.0799802076,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,,,767290,38,,2,2,17757.3453808646,0,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_2,09:39:00,09:39:00,767253,39,,2,2,18166.89099378,1,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_3,09:45:00,09:45:00,767253,1,,2,2,0,1,,,,,1,1,,,,,,,,,,,
t_1303405_b_219_tn_3,,,767254,2,,2,2,412.670465667674,0,,,,,1,1,,,,,,,,,,,
